"Age Group","Rank","Cause Category","Deaths","Crude Rate","Percentage"
"	45-54","2","Malignant Neoplasms","3,973","77.8","21.0%"
"	45-54","3","Heart Disease","3,382","66.2","17.9%"
"	45-54","4","Covid-19","2,036","39.9","10.8%"
"	45-54","5","Liver Disease","1,527","29.9","8.1%"
"	45-54","6","Suicide","1,266","24.8","6.7%"
"	45-54","7","Diabetes Mellitus","1,125","22.0","6.0%"
"	45-54","8","Cerebrovascular","618","12.1","3.3%"
"	45-54","9","Homicide","408","8.0","2.2%"
"	45-54","10","Chronic Low. Respiratory Disease","369","7.2","2.0%"
"	5-9","1","Unintentional Injury","111","4.2","48.5%"
"	5-9","2","Malignant Neoplasms","38","1.4","16.6%"
"	5-9","3","Congenital Anomalies","24","0.9","10.5%"
"	5-9","4","Homicide","23","0.9","10.0%"
"	5-9","5","Cerebrovascular","","",""
"	5-9","5","Heart Disease","","",""
"	5-9","7","Influenza & Pneumonia","","",""
"	5-9","8","Septicemia","","",""
"	5-9","9","Chronic Low. Respiratory Disease","","",""
"	5-9","9","Perinatal Period","","",""
"	55-64","1","Malignant Neoplasms","12,116","229.7","29.7%"
"	55-64","2","Heart Disease","8,883","168.4","21.8%"
"	55-64","3","Unintentional Injury","4,653","88.2","11.4%"
"	55-64","4","Covid-19","4,181","79.3","10.2%"
"	55-64","5","Diabetes Mellitus","2,710","51.4","6.6%"
"	55-64","6","Liver Disease","2,464","46.7","6.0%"
"	55-64","7","Chronic Low. Respiratory Disease","2,067","39.2","5.1%"
"	55-64","8","Cerebrovascular","1,586","30.1","3.9%"
"	55-64","9","Suicide","1,380","26.2","3.4%"
"	55-64","10","Influenza & Pneumonia","780","14.8","1.9%"
"65+","1","Heart Disease","69,010","855.8","30.0%"
"65+","2","Malignant Neoplasms","57,985","719.1","25.2%"
"65+","3","Chronic Low. Respiratory Disease","19,200","238.1","8.4%"
"65+","4","Covid-19","19,063","236.4","8.3%"
"65+","5","Alzheimer's Disease","17,321","214.8","7.5%"
"65+","6","Cerebrovascular","16,362","202.9","7.1%"
"65+","7","Unintentional Injury","10,299","127.7","4.5%"
"65+","8","Diabetes Mellitus","9,679","120.0","4.2%"
"65+","9","Hypertension","5,422","67.2","2.4%"
"65+","10","Parkinson's Disease","5,329","66.1","2.3%"
"All Ages","1","Heart Disease","83,022","189.9","27.0%"
"All Ages","2","Malignant Neoplasms","76,316","174.6","24.8%"
"All Ages","3","Unintentional Injury","32,202","73.7","10.5%"
"All Ages","4","Covid-19","26,718","61.1","8.7%"
"All Ages","5","Chronic Low. Respiratory Disease","21,807","49.9","7.1%"
"All Ages","6","Cerebrovascular","18,912","43.3","6.1%"
"All Ages","7","Alzheimer's Disease","17,534","40.1","5.7%"
"All Ages","8","Diabetes Mellitus","14,110","32.3","4.6%"
"All Ages","9","Suicide","8,804","20.1","2.9%"
"All Ages","10","Liver Disease","8,513","19.5","2.8%"
"Ages: 1-24 in 5-year groups; 25-65+ in 10-year groups","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Geographies: Arizona","","","","",""
"Intent: All Deaths with drilldown to ICD codes","","","","",""
"Number: 10","","","","",""
"Race: All Races","","","","",""
"RaceYear: 2018 - 2021 by Single Race","","","","",""
"Sexes: All Sexes","","","","",""
"Years: 2018 to 2023","","","","",""
"Notation: ** indicates unstable value (<20 deaths); -- indicates suppressed value; (between one to nine deaths or nonfatal injury counts based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);  --* indicates secondary suppression.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
